"WISKI_STATION_NO","WISKI_EQUIS_ID","WU_SYS_ID","WID","EQUIS_STATION_ID"
E39077002,,59336021,"07040002-582",S000-542
H79011002,S005-707,59342709,"09030008-502",S000-069
E73058001,,59341838,"09030002-503",S000-194
W57005002,S002-004,59340124,"09020104-520",S001-032
E24059001,,59332891,"07020003-512",S003-673
H17008002,S004-504,59331654,"07010203-511",S003-582
W38026003,S002-423,59335692,"07040001-507",S000-302
H33121001,,59334338,"07020012-519",S000-307
W33124001,S005-070,59334631,"07020012-505",S000-309
W33122003,S004-109,59334631,"07020012-505",S000-310
W33143005,S005-069,59334631,"07020012-505",S000-310
E33143004,S000-MNR,59334631,"07020012-505",S000-311
W33146004,S006-102,59334631,"07020012-505",S000-311
H33120001,S005-377,76716512,"07020012-809",S000-318
W33091002,,76721172,"07020012-834",S000-438
W16058002,S000-017,59331332,"07010202-501",S000-445
E16058004,,59331332,"07010202-501",S000-446
E40024001,,59336201,"07040003-512",S000-321
H41049001,S003-802,59337248,"07040004-507",S000-331
W19043002,S007-617,68226607,"07010205-638",S000-458
H19057001,S000-466,68226607,"07010205-638",S000-465
H16035003,S004-625,59331335,"07010202-503",S003-871
H02033001,,59327480,"04010102-511",S003-820
H02038001,S001-757,59327480,"04010102-511",S003-820
W02038013,,59327480,"04010102-511",S003-820
W02040011,,59327514,"04010102-545",S003-821
H10079001,,74051699,"07010104-658",S003-822
W03009001,S011-070,59328064,"04010201-541",S003-826
W03164001,,59328064,"04010201-541",S003-826
H16003001,,59331335,"07010202-503",S003-870
W16035004,,59331335,"07010202-503",S003-870
H41015001,S004-382,68390325,"07040004-973",S003-843
H32079001,S003-448,59334456,"07020011-507",S003-810
W16001001,,59331748,"07010202-613",S003-884
E66060002,S002-982,59341108,"09020305-539",S003-570
E32069001,S003-574,59334146,"07020011-504",S003-574
H39103002,S004-448,59335981,"07040002-542",S003-487
W39091002,,59335981,"07040002-542",S003-487
W41060001,S005-422,59337244,"07040004-503",S003-459
H58056002,S005-608,59340164,"09020106-504",S003-125
E20106001,,59332192,"07010206-508",S003-441
W20106002,,59332192,"07010206-508",S003-441
E58059001,S003-152,59553718,"09020106-595",S003-146
H58048001,S002-700,59553718,"09020106-595",S003-154
H58048002,S007-586,59553718,"09020106-595",S003-154
W60086001,S007-793,76793149,"09020108-650",S003-159
W60025001,S003-163,59340612,"09020108-506",S003-163
W55047001,,59340025,"09020102-514",S003-114
W54001002,S003-120,59339961,"09020101-515",S003-120
E66078001,S009-389,59340782,"09020305-518",S003-127
E66078001,S009-389,59340782,"09020305-518",S000-476
H51011001,S000-894,59339578,"07100001-501",S000-481
W51011002,S000-481,59339578,"07100001-501",S000-481
W26037002,,59333601,"07020005-506",S000-383
H41049001,S003-802,59337248,"07040004-507",S000-356
W41063001,,59337248,"07040004-507",S000-356
W16058003,,59331332,"07010202-501",S000-360
W33143005,S005-069,59334631,"07020012-505",S000-733
E25063001,,76595436,"07020004-747",S000-740
W82034001,S000-682,59343065,"10170203-501",S000-743
E40008001,,59336233,"07040003-542",S000-832
E40029001,,59336233,"07040003-542",S000-832
E40030001,,59336250,"07040003-559",S000-845
W01025002,,59326649,"04010101-532",S000-865
W01066001,,59326652,"04010101-535",S000-875
W22028001,S000-732,59333039,"07020001-508",S000-880
W22028002,,59333039,"07020001-508",S000-880
H26012001,S000-898,59333621,"07020005-523",S000-900
W26010001,S000-901,59333621,"07020005-523",S000-900
H26012001,S000-898,59333621,"07020005-523",S000-902
W80010004,,59342418,"09030009-501",S000-907
W01106002,S013-369,59326640,"04010101-523",S000-910
E72045001,S002-811,76802590,"09030001-985",S000-911
H72034001,,59341500,"09030001-520",S000-913
E66028001,S001-007,59340775,"09020305-512",S000-925
W26010002,S000-928,59333621,"07020005-523",S000-928
W43026003,,59337873,"07040008-518",S000-929
W37027002,S003-470,59335438,"07030005-546",S000-944
W43073004,,59337904,"07040008-548",S000-770
H80010001,S000-906,59342418,"09030009-501",S000-794
W28057003,S004-609,72847915,"07020007-677",S000-677
W80010002,S000-795,59342418,"09030009-501",S000-796
H48056001,,59339037,"07080201-503",S000-719
W48056002,,59339037,"07080201-503",S000-719
E41043001,S004-384,59337242,"07040004-501",S000-816
W41043002,S000-816,59337242,"07040004-501",S000-816
W41043003,,59337242,"07040004-501",S000-816
W41044001,,59337242,"07040004-501",S000-816
E40008001,,59336233,"07040003-542",S000-829
W40008003,,59336233,"07040003-542",S000-829
W10063001,S001-031,59330660,"07010104-502",S001-057
H10060001,S001-993,59330660,"07010104-502",S001-059
H10065002,S001-996,59330660,"07010104-502",S001-059
W39098001,,59335996,"07040002-557",S001-444
W37024002,,59335400,"07030005-510",S001-454
W37024002,,59335400,"07030005-510",S001-455
W66008002,S001-908,59340781,"09020305-517",S001-458
E66021002,S001-460,76801414,"09020305-653",S001-460
H03156001,,59328102,"04010201-579",S001-471
W03153004,S007-043,59328102,"04010201-579",S001-471
H03153001,S002-594,59328102,"04010201-579",S001-471
W39112001,,59335967,"07040002-528",S001-666
W39112002,,59335967,"07040002-528",S001-666
W39112001,,59335967,"07040002-528",S001-670
H15035001,,74052651,"07010201-631",S001-678
W37028002,,77584648,"07030005-798",S001-698
H41056001,,68412158,"07040004-986",S001-722
H41067002,,68411373,"07040004-976",S001-729
W21067002,S004-980,59332541,"07010207-518",S001-738
H40024001,S000-321,59336201,"07040003-512",S001-743
W40024004,,59336201,"07040003-512",S001-743
W02035002,,59327477,"04010102-508",S001-755
W02035017,,59327477,"04010102-508",S001-755
W02035022,,59327477,"04010102-508",S001-755
E24020002,,59332884,"07020003-505",S001-773
W24018003,S004-553,59332884,"07020003-505",S001-773
W33091002,,76721172,"07020012-834",S001-072
H39021001,,59335942,"07040002-504",S001-186
W41060001,S005-422,59337244,"07040004-503",S001-191
E33091001,S000-676,76721172,"07020012-834",S001-074
W31020002,S001-078,59334058,"07020010-502",S001-084
H39021001,,59335942,"07040002-504",S001-239
W18021001,S004-796,59332132,"07010204-502",S001-254
W18021003,,59332132,"07010204-502",S001-257
E57028001,S000-011,76957219,"09020104-544",S003-657
E20093001,,59332224,"07010206-539",S003-737
E20114001,,59332224,"07010206-539",S003-737
H20114002,S003-742,59332224,"07010206-539",S003-737
E20093001,,59332224,"07010206-539",S003-743
H20114002,S003-742,59332224,"07010206-539",S003-743
E20093001,,59332224,"07010206-539",S003-744
E20093001,,59332224,"07010206-539",S003-746
E20093001,,59332224,"07010206-539",S003-731
H20114002,S003-742,59332224,"07010206-539",S003-731
H16006001,S003-518,59331384,"07010202-550",S003-518
H16002001,,59331335,"07010202-503",S003-522
H36038001,S003-528,59334966,"07030004-551",S003-528
H36054001,S004-639,59335245,"07030004-511",S003-530
W12031004,,59330842,"07010106-537",S003-503
H12063001,,59330842,"07010106-537",S003-503
H18032004,S009-128,59331925,"07010204-590",S003-496
H66060001,S002-134,59341108,"09020305-539",S003-498
W37043002,,59335419,"07030005-528",S003-473
H37024001,,59335400,"07030005-510",S003-476
H30021003,S003-378,59334257,"07020009-518",S000-526
H19056001,S000-461,68226607,"07010205-638",S000-528
E19043001,,68226607,"07010205-638",S000-531
W39103007,S006-672,59335981,"07040002-542",S000-546
W56048003,,77131738,"09020103-768",S000-556
H19043001,S000-582,68226607,"07010205-638",S000-582
E09033001,,76964936,"07010103-754",S000-286
W39019001,S001-582,59335947,"07040002-509",S000-290
H33075001,S001-891,76721172,"07020012-834",S000-436
E22010001,,76595422,"07020001-552",S002-241
H31021001,S002-251,59334073,"07020010-517",S002-251
H31040001,S002-253,72464454,"07020010-563",S002-253
E20065001,,74058644,"07010206-805",S003-018
E18033001,,59332142,"07010204-511",S002-028
E07115001,S002-034,74022909,"07010101-754",S002-035
H40019001,S001-831,61899316,"07040003-F19",S001-825
E24020002,,59332884,"07020003-505",S001-837
H30025001,S000-522,59334254,"07020009-515",S001-302
E41042001,,59337243,"07040004-502",S001-307
W41031003,S003-772,59337243,"07040004-502",S001-307
W41085001,S001-482,68411373,"07040004-976",S001-478
W18011002,S001-274,59331891,"07010204-556",S001-505
H19049001,,59332385,"07010205-510",S001-514
H18011001,,59331891,"07010204-556",S001-517
W41063003,S007-955,59337248,"07040004-507",S001-349
W31062001,,59334080,"07020010-524",S001-536
H03001002,S003-070,59328271,"04010201-512",S001-372
H03001012,S008-484,59328271,"04010201-512",S001-372
W03001014,S004-973,59328271,"04010201-512",S001-372
H09100001,S002-629,59330409,"07010103-512",S001-578
W09100002,S003-306,59330409,"07010103-512",S001-578
E39101001,S003-557,59335953,"07040002-515",S001-581
W39044001,S000-450,59335941,"07040002-503",S001-584
E20088003,,77108555,"07010206-814",S000-345
W02007002,,59327470,"04010102-501",S000-252
W02060004,,59327470,"04010102-501",S000-252
W02006007,,59327470,"04010102-501",S000-252
W02006009,,59327470,"04010102-501",S000-252
W02007007,,59327470,"04010102-501",S000-252
W02036004,,59327518,"04010102-549",S000-258
E20088001,,77108555,"07010206-814",S000-266
E03084002,,59328081,"04010201-558",S000-281
E66060002,S002-982,59341108,"09020305-539",S002-982
E54034001,S003-107,59339949,"09020101-503",S003-107
W43073003,S000-773,59337904,"07040008-548",S003-383
H49007001,S004-113,59339145,"07080202-501",S000-084
H49007002,,59339145,"07080202-501",S000-084
W33143012,S000-310,59334631,"07020012-505",S000-086
H68031001,,59341261,"09020309-504",S002-985
H68031001,,59341261,"09020309-504",S002-994
W70030002,S007-441,59341061,"09020312-503",S002-999
W38020005,,59335703,"07040001-517",S003-325
CR1,,59339049,"07080201-515",S000-001
W35072003,,59335091,"07030003-502",S000-121
W75015001,S000-182,68229890,"09030008-540",S000-029
H41061002,S007-956,59337277,"07040004-536",S000-034
W24023002,,59332881,"07020003-502",S000-143
E24020002,,59332884,"07020003-505",S000-144
W24067001,,59332884,"07020003-505",S000-144
W18021003,,59332132,"07010204-502",S000-004
W33143005,S005-069,59334631,"07020012-505",S000-005
E83016001,,59342762,"10170204-509",S000-015
H10079001,,74051699,"07010104-658",S000-151
W19049004,S001-514,59332385,"07010205-510",S000-394
W30057001,S013-707,59334241,"07020009-503",S000-408
H19049002,,59332385,"07010205-510",S000-352
E25151001,,77438650,"07020004-765",S002-339
H25151002,S002-320,77438650,"07020004-765",S002-345
W25141002,,77438650,"07020004-765",S002-335
W25141003,S008-272,77438650,"07020004-765",S002-335
E67011001,,76958387,"09020306-524",S002-325
E18033001,,59332142,"07010204-511",S002-293
H18024002,S002-298,59332169,"07010204-536",S002-298
E33130002,,59334423,"07020012-604",S003-269
W72069001,,76802762,"09030001-986",S002-764
H72098001,,59341282,"09030001-603",S002-806
W77072001,,59342202,"09030006-502",S002-855
E25075001,S007-314,59333308,"07020004-502",S002-316
W33102001,S000-843,76716683,"07020012-813",S002-515
W70024002,S002-369,59341062,"09020312-504",S002-368
H70021002,S016-642,59341062,"09020312-504",S002-368
H21101001,,63412450,"07010207-666",S003-183
W21091002,S012-569,59332551,"07010207-528",S003-204
H65014002,S002-079,59340703,"09020304-501",S003-945
W38015003,S003-230,59335689,"07040001-504",S004-128
W39025002,,59336028,"07040002-589",S001-436
W39025003,,59336028,"07040002-589",S001-436
W41089002,S001-484,68414862,"07040004-989",S001-486
W68018001,,72730665,"09020309-539",S004-106
W28085001,,72847914,"07020007-676",S002-401
H39103001,S002-465,59335981,"07040002-542",S002-413
H38027010,,59335692,"07040001-507",S002-418
E20115005,,62514670,"07010206-801",S002-773
W39079002,,59335951,"07040002-513",S001-260
W35038004,S001-277,59335107,"07030003-516",S001-263
H35038003,,59335107,"07030003-516",S001-263
